level,exp_required_to_next_level,swordie_rule,source
69,318167,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
70,342029,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
71,367681,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
72,395257,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
73,424901,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
74,456768,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
75,488741,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
76,522952,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
77,559558,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
78,598727,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
79,640637,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
80,685481,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
81,733464,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
82,784806,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
83,839742,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
84,898523,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
85,961419,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
86,1028718,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
87,1100728,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
88,1177778,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
89,1260222,previous * 1.07,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
90,1342136,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
91,1429374,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
92,1522283,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
93,1621231,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
94,1726611,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
95,1838840,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
96,1958364,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
97,2085657,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
98,2221224,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
99,2365603,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
100,2365603,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
101,2365603,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
102,2365603,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
103,2365603,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
104,2365603,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
105,2519367,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
106,2683125,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
107,2857528,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
108,3043267,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
109,3241079,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
110,3451749,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
111,3676112,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
112,3915059,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
113,4169537,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
114,4440556,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
115,4729192,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
116,5036589,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
117,5363967,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
118,5712624,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
119,6083944,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
120,6479400,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
121,6900561,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
122,7349097,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
123,7826788,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
124,8335529,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
125,8877338,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
126,9454364,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
127,10068897,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
128,10723375,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
129,11420394,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
130,12162719,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
131,12953295,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
132,13795259,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
133,14691950,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
134,15646926,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
135,16663976,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
136,17747134,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
137,18900697,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
138,20129242,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
139,21437642,previous * 1.065,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
140,22777494,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
141,24201087,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
142,25713654,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
143,27320757,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
144,29028304,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
145,30842573,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
146,32770233,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
147,34818372,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
148,36994520,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
149,39306677,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
150,41763344,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
151,44373553,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
152,47146900,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
153,50093581,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
154,53224429,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
155,56550955,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
156,60085389,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
157,63840725,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
158,67830770,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
159,72070193,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
160,76574580,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
161,81360491,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
162,86445521,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
163,91848366,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
164,97588888,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
165,103688193,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
166,110168705,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
167,117054249,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
168,124370139,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
169,132143272,previous * 1.0625,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
170,138750435,"hardcoded 138,750,435",https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
171,145687956,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
172,152972353,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
173,160620970,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
174,168652018,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
175,177084618,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
176,185938848,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
177,195235790,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
178,204997579,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
179,215247457,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
180,226009829,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
181,237310320,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
182,249175836,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
183,261634627,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
184,274716358,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
185,288452175,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
186,302874783,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
187,318018522,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
188,333919448,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
189,350615420,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
190,368146191,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
191,386553500,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
192,405881175,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
193,426175233,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
194,447483994,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
195,469858193,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
196,493351102,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
197,518018657,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
198,543919589,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
199,571115568,previous * 1.05,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
200,2207026470,"hardcoded 2,207,026,470",https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
201,2471869646,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
202,2768494003,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
203,3100713283,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
204,3472798876,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
205,3889534741,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
206,4356278909,previous * 1.12,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
